,index,AGENCY_ID,PROD_ABBR,STATE_ABBR,STAT_PROFILE_DATE_YEAR,POLY_INFORCE_QTY,PRD_ERND_PREM_AMT,WRTN_PREM_AMT
6,6,3,ANNIV,IN,2011,4384,472696.96,458098.89
17,17,3,ANNIV,KY,2011,279,42631.52,38203.11
28,28,3,ANNIV,OH,2011,30,2309.16,2595.47
47,47,3,BOILERMACH,IN,2011,0,4790.67,4988.11
58,58,3,BOILERMACH,KY,2011,0,894.53,939.63
69,69,3,BOP,IN,2011,0,19045.77,19251.41
80,80,3,BOP,KY,2011,0,2663.81,3795.52
91,91,3,COMMAUTO,IN,2011,0,268449.71,269472.98
102,102,3,COMMAUTO,KY,2011,0,4063.96,3955.56
108,108,3,COMMAUTO,MI,2011,0,0.0,0.0
119,119,3,COMMAUTO,OH,2011,0,0.0,0.0
130,130,3,COMMAUTO,PA,2011,0,0.0,0.0
138,138,3,COMMAUTO,WV,2011,0,0.0,0.0
146,146,3,COMMINLMAR,IN,2011,0,33089.71,33308.22
157,157,3,COMMINLMAR,KY,2011,0,585.35,-132.9
168,168,3,COMMPOL,IN,2011,797,0.0,0.0
179,179,3,COMMPOL,KY,2011,109,0.0,0.0
190,190,3,COMMUMBREL,IN,2011,0,4917.67,4679.0
201,201,3,COMMUMBREL,KY,2011,0,1906.9,1927.63
212,212,3,CRIME,IN,2011,0,867.84,868.0
223,223,3,CRIME,KY,2011,0,0.0,0.0
231,231,3,CYCLES,IN,2011,67,2799.61,2822.59
242,242,3,DTALK,IN,2011,108,2673.86,2335.02
253,253,3,DTALK,KY,2011,0,0.0,0.0
265,265,3,DWELLFIRE,IN,2011,200,10231.71,11231.3
276,276,3,DWELLFIRE,KY,2011,50,2336.31,2644.0
281,281,3,DWELLFIRE,OH,2011,1,82.62,630.0
292,292,3,FIREALLIED,IN,2011,0,75251.25,78115.7
303,303,3,FIREALLIED,KY,2011,0,16167.07,16918.45
314,314,3,GARAGE,IN,2011,0,1911.41,1777.0
325,325,3,GARAGE,KY,2011,0,0.0,0.0
333,333,3,GENERALIAB,IN,2011,0,45004.81,46060.99
344,344,3,GENERALIAB,KY,2011,0,3835.99,4931.25
356,356,3,HOMEOWNERS,IN,2011,3845,331577.78,339693.54
367,367,3,HOMEOWNERS,KY,2011,444,35307.84,35183.77
378,378,3,HOMEOWNERS,OH,2011,30,1716.53,2686.0
389,389,3,MOBILEHOME,IN,2011,12,258.88,251.0
404,404,3,MOTORHOME,IN,2011,260,7024.08,7016.02
415,415,3,MOTORHOME,KY,2011,24,304.09,304.54
426,426,3,MOTORHOME,OH,2011,4,59.05,19.55
434,434,3,PERSUMBREL,IN,2011,933,14651.23,14217.52
445,445,3,PERSUMBREL,KY,2011,31,483.34,218.38
454,454,3,PERSUMBREL,OH,2011,12,140.81,141.0
465,465,3,WORKCOMP,IN,2011,0,67059.14,65197.54
476,476,3,WORKCOMP,KY,2011,0,2409.95,2712.93
484,484,3,WORKCOMP,PA,2011,0,0.0,0.0
495,495,3,YACHT,IN,2011,88,4346.83,4677.18
506,506,3,YACHT,KY,2011,76,6017.55,7400.0
